吉林化纤,000420,4.0,2.5,3.6,4.1,7.3,4.6
南京公用,000421,6.1,8.2,4.9,6.3,5.6,4.8
ST宜化,000422,6.3,8.4,3.7,5.2,6.2,6.6
东阿阿胶,000423,5.0,6.4,3.9,4.5,6.2,4.1
徐工机械,000425,4.5,2.7,2.2,6.0,6.4,6.9
兴业矿业,000426,4.5,5.1,4.0,2.0,5.3,5.2
华天酒店,000428,5.8,7.2,2.8,5.2,7.4,6.1
粤高速A,000429,5.2,4.6,5.7,4.6,5.9,5.7
张家界,000430,4.5,4.2,3.5,2.5,5.7,6.4
晨鸣纸业,000488,4.5,2.8,1.4,7.9,5.2,6.7
山东路桥,000498,5.1,2.8,5.6,5.8,7.1,6.4
鄂武商A,000501,4.0,1.8,4.1,3.3,6.0,6.1
绿景控股,000502,3.4,1.6,4.0,4.5,5.4,3.6
国新健康,000503,3.6,3.8,1.6,1.7,7.8,4.3
*ST生物,000504,5.8,5.6,4.3,6.6,7.6,6.1
京粮控股,000505,6.4,9.0,5.1,5.5,7.3,4.5
中润资源,000506,3.8,3.4,3.5,3.4,5.3,4.1
珠海港,000507,5.0,4.4,3.7,6.7,4.5,6.1
*ST华塑,000509,4.5,4.6,3.0,2.3,6.8,5.9
新金路,000510,5.5,6.2,3.7,5.0,6.2,6.3
丽珠集团,000513,6.5,7.6,6.0,6.1,5.6,6.1
渝开发,000514,5.0,3.4,6.7,5.6,5.4,5.2
国际医学,000516,5.0,4.8,3.5,3.9,7.8,6.0
荣安地产,000517,4.2,2.0,5.3,2.9,5.4,6.1
四环生物,000518,4.9,4.0,3.0,6.6,7.6,5.5
中兵红箭,000519,6.1,9.0,6.3,1.1,6.8,5.3
长航凤凰,000520,5.2,6.0,4.4,4.4,4.5,5.5
长虹美菱,000521,4.3,1.8,4.0,5.7,6.2,6.0
广州浪奇,000523,3.7,1.8,1.9,5.2,6.6,5.5
岭南控股,000524,3.8,1.8,3.0,4.5,5.7,5.7
红太阳,000525,5.6,7.8,2.9,5.3,6.6,5.1
紫光学大,000526,6.6,8.6,3.8,5.2,5.8,7.6
柳工,000528,5.6,7.5,1.4,5.6,6.4,6.4
广弘控股,000529,6.8,9.0,5.8,6.5,4.8,6.0
冰山冷热,000530,5.3,6.6,3.4,5.1,6.5,4.8
穗恒运A,000531,7.1,9.0,5.8,7.7,5.8,5.9
华金资本,000532,5.0,5.4,3.0,5.7,5.3,5.4
顺钠股份,000533,6.9,9.0,4.4,7.7,6.8,5.9
万泽股份,000534,4.9,2.7,4.4,6.8,7.6,5.7
华映科技,000536,5.0,5.2,6.0,3.8,5.2,4.6
广宇发展,000537,4.3,2.3,2.8,5.5,5.4,6.6
云南白药,000538,6.8,8.2,6.4,5.7,6.2,6.2
粤电力A,000539,4.6,1.4,6.3,5.7,5.8,6.1
中天金融,000540,4.3,3.8,2.0,5.5,5.4,5.4
佛山照明,000541,5.3,6.8,4.4,3.5,5.2,5.5
皖能电力,000543,5.5,5.2,2.2,9.9,5.8,5.7
中原环保,000544,5.2,3.6,5.6,6.8,5.6,5.8
金浦钛业,000545,3.9,3.4,3.7,1.8,6.6,4.8
金圆股份,000546,6.9,8.2,6.7,5.6,7.4,6.0
航天发展,000547,5.8,6.6,2.6,7.0,5.8,6.7
湖南投资,000548,4.5,3.8,4.7,4.5,5.9,4.6
江铃汽车,000550,5.1,2.5,5.3,7.1,5.3,6.9
创元科技,000551,6.2,7.8,4.7,5.6,5.4,6.2
靖远煤电,000552,5.0,5.2,5.2,5.7,5.4,4.1
安道麦A,000553,5.6,7.8,2.5,4.8,6.6,5.4
泰山石油,000554,4.1,2.2,2.9,5.0,6.2,5.8
神州信息,000555,4.4,1.4,3.7,5.6,5.2,7.5
西部创业,000557,5.9,6.6,5.2,7.8,5.9,4.5
莱茵体育,000558,5.0,4.8,4.4,7.4,5.4,4.2
万向钱潮,000559,4.7,3.8,2.8,5.5,6.1,6.2
我爱我家,000560,5.4,4.4,6.4,4.0,5.4,6.5
烽火电子,000561,6.3,8.9,6.1,2.8,6.8,5.1
陕国投A,000563,5.0,4.5,2.1,9.9,5.3,4.7
供销大集,000564,6.1,8.6,5.8,4.4,6.0,4.3
渝三峡A,000565,4.5,4.2,3.5,4.7,6.6,4.8
海南海药,000566,3.3,1.8,1.8,4.0,5.6,4.8
海德股份,000567,5.1,5.9,4.1,5.5,5.3,4.7
泸州老窖,000568,6.3,6.1,5.7,5.5,7.2,7.3
苏常柴A,000570,5.9,7.7,4.5,4.4,6.5,5.4
*ST大洲,000571,3.8,1.8,3.9,4.5,5.4,4.9
*ST海马,000572,4.5,4.5,3.4,4.8,5.3,5.0
粤宏远A,000573,4.2,1.8,3.1,5.6,5.4,6.5
广东甘化,000576,3.7,2.0,3.4,2.4,5.3,6.1
威孚高科,000581,6.6,8.2,5.2,6.2,6.1,6.3
北部湾港,000582,5.8,3.7,8.0,6.0,4.5,7.1
哈工智能,000584,4.7,3.8,3.3,4.3,6.4,6.4
ST东电,000585,3.8,1.8,3.6,2.9,6.8,5.7
汇源通信,000586,3.3,1.8,2.4,3.3,4.3,5.4
金洲慈航,000587,3.5,1.8,2.2,6.0,5.5,4.4
贵州轮胎,000589,5.3,4.9,3.5,6.3,7.3,5.8
启迪古汉,000590,4.0,1.8,2.8,6.0,6.2,5.6
