000001.SZ,平安银行
000002.SZ,万科A
000004.SZ,国农科技
000005.SZ,世纪星源
000006.SZ,深振业A
000007.SZ,全新好
000008.SZ,神州高铁
000009.SZ,中国宝安
000010.SZ,*ST美丽
000011.SZ,深物业A
