id,name,area,dazhihui,eastmoney,jinrongjie,jinrongjie_score,tonghuashun
000498,山东路桥,SZ,6.1,70.48,26.71,70.19,6.1
000501,鄂武商A,SZ,6.2,67.48,20.02,56.91,5.8
000502,绿景控股,SZ,5.7,57.11,28.27,59.75,4.2
000503,国新健康,SZ,6.4,58.18,23.21,55.82,4.0
000504,*ST生物,SZ,5.4,58.22,56.45,60.82,5.7
000505,京粮控股,SZ,6.3,62.64,20.0,57.48,5.0
000506,中润资源,SZ,7.3,60.92,20.04,60.09,4.7
000507,珠海港,SZ,7.0,71.68,21.19,61.91,4.9
000509,*ST华塑,SZ,4.5,50.31,20.88,41.73,4.4
000510,新金路,SZ,6.2,67.47,28.36,59.11,5.3
000513,丽珠集团,SZ,6.8,73.23,21.39,65.76,5.0
000514,渝开发,SZ,6.5,66.27,20.01,62.88,5.0
000516,国际医学,SZ,6.6,56.64,23.48,54.51,4.5
000517,荣安地产,SZ,6.3,66.4,20.37,63.40,5.0
000518,四环生物,SZ,5.7,56.55,66.86,53.61,4.9
000519,中兵红箭,SZ,6.6,69.31,20.0,60.05,3.9
000520,长航凤凰,SZ,6.5,63.6,99.74,56.92,5.6
000521,长虹美菱,SZ,5.3,61.75,22.15,65.43,4.5
000523,广州浪奇,SZ,5.3,52.33,20.01,53.11,4.4
000524,岭南控股,SZ,6.4,60.38,20.45,73.77,5.2
000525,红太阳,SZ,6.3,51.88,22.26,51.08,4.3
000526,紫光学大,SZ,5.6,57.29,99.41,61.40,5.9
000528,柳工,SZ,7.5,72.84,66.47,65.95,6.4
000529,广弘控股,SZ,5.9,69.36,50.18,67.52,4.8
000530,冰山冷热,SZ,6.2,56.22,22.97,67.18,4.7
000531,穗恒运A,SZ,7.5,69.25,52.36,71.71,6.5
000532,华金资本,SZ,6.6,58.89,82.99,53.96,5.7
000533,顺钠股份,SZ,5.6,61.81,74.29,67.62,4.5
000534,万泽股份,SZ,6.5,68.97,21.06,60.30,5.6
000536,*ST华映,SZ,6.2,45.67,22.83,58.68,4.7
000537,广宇发展,SZ,7.7,70.14,28.46,52.92,5.7
000538,云南白药,SZ,7.7,77.41,20.0,47.07,6.3
000539,粤电力A,SZ,6.9,65.26,20.53,56.83,4.8
000540,中天金融,SZ,7.1,63.38,20.86,67.73,4.5
000541,佛山照明,SZ,7.2,64.84,21.98,72.01,5.2
000543,皖能电力,SZ,7.4,70.01,20.05,58.76,5.3
000544,中原环保,SZ,7.3,74.89,35.87,69.19,6.7
000545,金浦钛业,SZ,6.8,60.69,20.64,70.51,4.6
000546,金圆股份,SZ,6.9,65.25,37.26,62.91,6.4
000547,航天发展,SZ,7.7,70.81,20.01,65.92,5.7
000548,湖南投资,SZ,6.7,57.16,20.34,77.28,4.6
000550,江铃汽车,SZ,7.1,66.42,20.17,51.34,5.9
000551,创元科技,SZ,7.0,63.19,93.82,66.93,6.2
000552,靖远煤电,SZ,7.3,70.97,20.18,66.25,5.4
000553,安道麦A,SZ,5.8,60.54,25.93,60.40,4.2
000554,泰山石油,SZ,6.8,62.65,20.0,61.52,4.6
000555,神州信息,SZ,6.9,73.18,20.34,59.17,5.2
000557,西部创业,SZ,6.6,68.13,20.0,61.96,5.4
000558,莱茵体育,SZ,6.3,62.41,21.43,54.31,4.6
